     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4           140063.04         74.82          0.00
         0.0739                  0.0061            1028.4           138674.08         74.09         -2.06
         0.1000                  0.0083            1028.4           140070.57         74.82          0.42
         0.1709                  0.0149             914.0           126225.43         67.43         -0.32
         0.2000                  0.0174             914.0           122559.60         65.54        -11.06
         0.2678                  0.0247             799.6           110582.58         59.11         -5.20
         0.3000                  0.0277             799.6           114472.17         61.21         -9.47
         0.3644                  0.0359             685.2            98480.44         52.78        -25.85
         0.4000                  0.0394             685.2            97081.15         52.05        -28.74
         0.4608                  0.0491             570.8            81754.71         43.98        -45.68
         0.5000                  0.0532             570.8            82075.80         44.18        -49.89
         0.5593                  0.0616             525.0            72727.34         39.49        -96.07
         0.6185                  0.0682             525.0            79060.73         42.86        -94.18
         0.6500                  0.0716             525.0            78316.67         42.24        -60.62
         0.7076                  0.0809             479.2            71980.11         39.14       -104.13
         0.7652                  0.0875             479.2            69587.30         37.71        -81.11
         0.8000                  0.0915             479.2            68832.86         37.55       -116.90
         0.8561                  0.1019             433.4            66427.66         36.48       -148.79
         0.9121                  0.1085             433.4            63585.52         35.06       -164.80
         0.9683                  0.1152             433.4            68839.72         37.78       -151.73
         1.0000                  0.1190             433.4            65113.30         35.64       -128.77
         1.0544                  0.1310             387.7            58153.85         32.31       -186.66
         1.1088                  0.1378             387.7            62212.60         34.44       -181.48
         1.1633                  0.1445             387.7            58946.71         32.90       -212.56
         1.2177                  0.1513             387.7            58032.16         32.76       -264.75
         1.2500                  0.1553             387.7            58183.88         33.09       -301.44
         1.3015                  0.1758             310.1            45708.70         28.68       -640.67
         1.3500                  0.1823             310.1            40736.47         27.73       -896.01
         1.4018                  0.1892             310.1            36605.55         27.48      -1189.84
         1.4500                  0.1956             310.1            34627.65         27.10      -1290.98
         1.5016                  0.2026             310.1            37560.94         28.29      -1235.46
         1.5500                  0.2090             310.1            34743.34         28.31      -1464.41
         1.6016                  0.2160             310.1            31232.99         26.85      -1526.70
         1.6500                  0.2224             310.1            30681.70         28.45      -1810.53
         1.7017                  0.2293             310.1            30970.11         27.80      -1690.43
         1.7500                  0.2358             310.1            29188.87         27.25      -1749.97
         1.8019                  0.2427             310.1            25823.02         27.27      -2023.44
         1.8500                  0.2492             310.1            32734.96         29.14      -1749.02
         1.9019                  0.2561             310.1            26210.02         28.09      -2114.46
         1.9500                  0.2625             310.1            28044.50         27.79      -1923.54
         2.0018                  0.2694             310.1            25667.46         27.08      -2007.27
         2.0500                  0.2758             310.1            23876.53         27.96      -2282.87
         2.1020                  0.2828             310.1            21605.43         27.49      -2393.86
         2.1500                  0.2892             310.1            20296.30         27.64      -2521.30
         2.2021                  0.2961             310.1            20829.09         27.61      -2474.65
         2.2500                  0.3025             310.1            22565.36         27.71      -2350.76
         2.3019                  0.3094             310.1            24149.81         28.18      -2293.15
         2.3500                  0.3158             310.1            19565.18         27.54      -2564.96
         2.4020                  0.3227             310.1            21565.81         27.94      -2465.17
         2.4500                  0.3291             310.1            21362.11         27.45      -2407.19
         2.5021                  0.3360             310.1            19546.86         27.80      -2605.93
         2.5500                  0.3424             310.1            19672.46         28.41      -2687.21
         2.6021                  0.3493             310.1            22029.51         28.44      -2502.50
         2.6500                  0.3556             310.1            22062.65         28.62      -2526.98
         2.7022                  0.3626             310.1            19247.54         26.59      -2447.97
         2.7500                  0.3689             310.1            18859.24         29.03      -2845.65
         2.8021                  0.3758             310.1            13043.33         28.11      -3174.45
         2.8500                  0.3822             310.1            16415.52         27.48      -2809.11
         2.9020                  0.3891             310.1            18022.64         28.47      -2828.68
         2.9500                  0.3955             310.1            19480.35         28.59      -2730.51
         3.0020                  0.4024             310.1            21416.67         28.32      -2533.30
         3.0500                  0.4088             310.1            21072.47         27.98      -2509.98
         3.1020                  0.4157             310.1            20836.48         27.33      -2431.75
         3.1500                  0.4220             310.1            19808.74         27.50      -2539.81
         3.2020                  0.4290             310.1            19297.14         27.85      -2633.63
         3.2500                  0.4354             310.1            21504.23         27.72      -2436.42
         3.3021                  0.4423             310.1            19700.93         28.31      -2669.39
         3.3500                  0.4487             310.1            20793.32         28.51      -2612.86
         3.4020                  0.4556             310.1            16118.23         26.47      -2681.13
         3.4500                  0.4619             310.1            20341.05         28.37      -2627.41
         3.5021                  0.4689             310.1            18757.09         27.83      -2674.13
         3.5500                  0.4752             310.1            17238.99         28.65      -2918.67
         3.6021                  0.4821             310.1            18199.84         26.92      -2581.03
         3.6500                  0.4885             310.1            15388.07         26.98      -2816.25
         3.7020                  0.4954             310.1            18095.33         27.83      -2727.38
         3.7500                  0.5018             310.1            12903.87         27.99      -3167.66
         3.8022                  0.5087             310.1            17835.85         27.58      -2710.00
         3.8500                  0.5150             310.1            16937.53         27.54      -2776.05
         3.9020                  0.5220             310.1            16600.00         28.54      -2953.06
         3.9500                  0.5283             310.1            17903.86         29.36      -2972.06
         4.0021                  0.5353             310.1            14165.91         27.64      -3012.73
         4.0500                  0.5416             310.1            17321.42         28.17      -2840.17
         4.1021                  0.5486             310.1            18997.28         28.34      -2731.62
         4.1500                  0.5549             310.1            16614.04         27.63      -2814.91
         4.2021                  0.5618             310.1            16389.13         27.30      -2784.65
         4.2500                  0.5682             310.1            17518.33         27.82      -2770.84
         4.3021                  0.5751             310.1            14922.89         27.73      -2966.06
         4.3500                  0.5815             310.1            14420.64         27.02      -2899.64
         4.4023                  0.5884             310.1            16729.95         27.86      -2841.18
         4.4500                  0.5947             310.1            15386.94         27.71      -2926.23
         4.5021                  0.6017             310.1            18110.57         28.59      -2839.23
         4.5500                  0.6080             310.1            15738.84         27.36      -2844.47
         4.6021                  0.6150             310.1            17399.50         28.03      -2812.20
         4.6500                  0.6213             310.1            16811.11         28.47      -2925.28
